Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-16 00:00:00+05:30,16686.52502218622,16720.6008337033,16374.909595500701,16582.3046875,31397,0.0,0.0
2022-12-19 00:00:00+05:30,16515.673611628736,16683.677877678063,16387.53476464196,16638.923828125,19232,0.0,0.0
2022-12-20 00:00:00+05:30,16548.897943854587,16790.93803422929,16496.7414188653,16706.650390625,25213,0.0,0.0
2022-12-21 00:00:00+05:30,16761.50939261761,16988.03075645547,16444.816252784578,16525.353515625,30969,0.0,0.0
2022-12-22 00:00:00+05:30,16535.27298522706,16634.270987966054,16269.835389860456,16367.36328125,24046,0.0,0.0
2022-12-23 00:00:00+05:30,16335.330890475601,16335.330890475601,15851.250776928677,15993.1044921875,30648,0.0,0.0
2022-12-26 00:00:00+05:30,15946.216696603482,16452.07967530102,15773.038296064653,16402.865234375,33905,0.0,0.0
2022-12-27 00:00:00+05:30,16467.217567929336,16484.873736780177,15951.768298351742,16346.2939453125,17196,0.0,0.0
2022-12-28 00:00:00+05:30,16346.246015011586,16577.275987157227,16193.002183253673,16410.552734375,22164,0.0,0.0
2022-12-29 00:00:00+05:30,16302.109228993997,16425.216700957764,16110.327342196844,16218.6298828125,27430,0.0,0.0
2022-12-30 00:00:00+05:30,16299.68842973909,16466.317138406226,16240.602181072627,16386.775390625,9551,0.0,0.0
2023-01-02 00:00:00+05:30,16456.683993347564,16466.318508278087,16221.430903070815,16297.033203125,9526,0.0,0.0
2023-01-03 00:00:00+05:30,16344.774343531428,16373.297844509192,16226.17545808027,16262.9560546875,6877,0.0,0.0
2023-01-04 00:00:00+05:30,16262.908764631615,16262.908764631615,15946.16922811511,16000.65234375,24307,0.0,0.0
2023-01-05 00:00:00+05:30,16088.544728467528,16178.52741928961,15899.65856911856,16142.3623046875,14393,0.0,0.0
2023-01-06 00:00:00+05:30,16230.922739074336,16324.89123914266,16105.156817265719,16198.365234375,21331,0.0,0.0
2023-01-09 00:00:00+05:30,16279.093431315641,16373.204678505172,16222.1910256969,16346.05859375,8080,0.0,0.0
2023-01-10 00:00:00+05:30,16325.83908063518,16608.69373447409,16325.83908063518,16521.083984375,15811,0.0,0.0
2023-01-11 00:00:00+05:30,16563.131919565818,16634.271965263506,16373.296596705466,16469.115234375,8578,0.0,0.0
2023-01-12 00:00:00+05:30,16421.706403471864,16539.404316542234,16278.380719007135,16495.7421875,10485,0.0,0.0
2023-01-13 00:00:00+05:30,16495.741047919055,16515.673757626533,16306.85489402436,16451.984375,10030,0.0,0.0
2023-01-16 00:00:00+05:30,16438.74191754761,16483.73326075403,16169.223953971214,16220.4794921875,8833,0.0,0.0
2023-01-17 00:00:00+05:30,16250.805692945858,16250.805692945858,16051.526791075421,16135.1025390625,6812,0.0,0.0
2023-01-18 00:00:00+05:30,16136.002653768388,16311.600329706456,16026.941888589328,16195.80078125,14160,0.0,0.0
